-- DTU dataset for estimating relative camera pose (Training data)
3 4 65 0.967014 -0.031070 -0.103499 -0.230665 0.546164 0.756498 -0.359743
3 17 27 0.963744 0.172455 -0.108082 -0.172557 -0.469003 0.483832 -0.738880
22 40 30 0.970734 0.189195 -0.128922 -0.072523 0.282155 0.547237 -0.787985
18 36 55 0.976470 0.202738 0.070937 0.019255 -0.553932 -0.312517 -0.771682
2 9 37 0.961691 0.065211 -0.127949 -0.233510 -0.460455 0.590935 -0.662403
4 18 32 0.978299 0.187638 -0.039730 -0.078382 -0.617197 0.358441 -0.700420
24 46 19 0.952996 0.205260 0.215909 0.055235 0.093122 -0.714821 -0.693079
8 15 58 0.957372 0.123231 0.177939 0.191284 0.272198 -0.938726 -0.211428
11 32 10 0.943172 0.275616 -0.129012 -0.133488 -0.363786 0.051980 -0.930031
36 39 56 0.951781 0.082493 -0.282881 -0.085359 0.691669 0.698545 -0.183379
32 34 65 0.977112 -0.010788 -0.199299 -0.073586 -0.197442 0.818026 -0.540232
17 43 68 0.953518 0.297188 0.047866 -0.013811 -0.410841 -0.041895 -0.910744
17 38 76 0.945368 0.168275 -0.226414 -0.163401 0.479770 0.689479 -0.542623
37 45 69 0.908643 0.109686 0.392661 0.090300 0.230590 -0.950126 -0.209974
31 49 67 0.978735 0.105463 0.172863 0.032765 0.696187 -0.451355 -0.558214
25 42 7 0.939088 0.174415 -0.269285 -0.123203 0.288665 0.723729 -0.626809
17 38 54 0.945368 0.168275 -0.226414 -0.163401 0.479770 0.689479 -0.542623
6 22 48 0.952705 0.213585 0.168587 0.135323 -0.681183 -0.592137 -0.430539
23 44 31 0.968444 0.205193 0.138975 0.026404 -0.227712 -0.628478 -0.743749
26 33 54 0.990430 0.093378 -0.086059 -0.054064 -0.397776 0.205311 -0.894216
27 44 29 0.928569 0.171514 -0.300659 -0.133962 0.053955 0.640120 -0.766378
17 37 27 0.967683 0.181005 -0.137528 -0.109142 0.078973 0.600587 -0.795649
13 45 68 0.912435 0.262095 -0.267800 -0.164477 -0.041231 0.487115 -0.872364
25 32 46 0.986343 0.107118 0.116867 0.044678 0.284738 -0.842586 -0.457136
16 44 64 0.955000 0.294795 0.012588 -0.030220 -0.325440 -0.017581 -0.945399
46 48 59 0.979455 0.005701 0.199196 0.030911 0.881065 -0.471383 -0.039007
5 18 1 0.962312 0.213783 0.107840 0.128932 -0.810153 -0.384878 -0.442178
10 43 4 0.879049 0.346828 -0.256644 -0.202774 0.102385 0.663239 -0.741371
23 45 11 0.948640 0.206437 0.231773 0.061215 -0.047997 -0.773983 -0.631385
8 35 54 0.954219 0.296634 0.037644 -0.007554 -0.560821 -0.062457 -0.825578
10 23 63 0.920191 0.150778 -0.252787 -0.258095 0.101837 0.712815 -0.693920
19 21 75 0.993938 0.102367 0.036581 0.016421 -0.653895 -0.258880 -0.710917
16 34 64 0.979862 0.198501 0.016075 -0.014441 -0.394717 -0.285935 -0.873178
20 41 40 0.959694 0.205774 0.186269 0.044150 -0.616616 -0.564496 -0.548752
43 44 23 0.994912 0.003139 0.099507 0.015466 0.313756 -0.890265 0.330130
16 35 40 0.976559 0.189202 -0.074731 -0.070353 -0.306845 0.242950 -0.920229
10 43 7 0.879049 0.346828 -0.256644 -0.202774 0.102385 0.663239 -0.741371
21 38 69 0.994262 0.096967 -0.034230 -0.029487 -0.069680 0.263786 -0.962061
4 8 57 0.992131 0.107087 0.036777 0.053433 -0.734787 -0.552654 -0.393270
33 42 65 0.946300 0.081525 -0.299744 -0.089577 0.267695 0.812007 -0.518638
18 34 20 0.935944 0.211868 0.249401 0.130077 -0.180503 -0.850473 -0.494080
21 44 21 0.906547 0.205834 0.352727 0.106713 -0.161819 -0.896261 -0.412954
21 43 2 0.939330 0.207104 0.263573 0.072775 -0.347582 -0.812443 -0.468105
22 35 31 0.981137 0.110070 0.147505 0.059131 -0.199081 -0.927575 -0.316182
20 38 16 0.991662 0.104558 0.071870 0.022553 -0.629050 -0.469665 -0.619444
17 43 9 0.953518 0.297188 0.047866 -0.013811 -0.410841 -0.041895 -0.910744
9 41 23 0.872060 0.340647 -0.277460 -0.215608 0.346944 0.750114 -0.562990
32 43 61 0.944649 0.082065 -0.304406 -0.090775 0.113645 0.774804 -0.621903
34 46 15 0.975459 0.105682 0.189595 0.036936 0.371047 -0.840101 -0.395670
16 42 39 0.938940 0.275921 -0.168589 -0.117633 0.063194 0.592721 -0.802925
24 36 55 0.979281 0.085222 -0.159885 -0.090459 0.130109 0.710471 -0.691594
11 44 7 0.855537 0.332086 -0.317283 -0.238971 0.134828 0.619954 -0.772967
29 31 53 0.977146 -0.011495 -0.199019 -0.073786 -0.696303 0.430360 -0.574415
17 19 11 0.961459 -0.027600 -0.199551 -0.187123 0.721801 0.675650 -0.149998
2 22 68 0.813628 0.192831 -0.346731 -0.424975 0.497186 0.692935 -0.522157
38 41 60 0.987590 0.104742 0.115717 0.017451 -0.455076 -0.771289 -0.444993
7 18 67 0.994449 0.102164 0.021565 0.013007 -0.732315 -0.220552 -0.644261
36 44 21 0.972793 0.107594 0.201258 0.039896 0.042853 -0.958059 -0.283348
21 42 5 0.962845 0.205910 0.170555 0.037981 -0.489621 -0.611469 -0.621592
2 23 74 0.867142 0.220413 -0.278851 -0.348892 0.106215 0.718640 -0.687223
15 17 51 0.961293 -0.026332 -0.200726 -0.186900 0.278502 0.858897 -0.429806
12 27 31 0.972042 0.077819 -0.169935 -0.142127 -0.630355 0.182256 -0.754609
32 34 58 0.977112 -0.010788 -0.199299 -0.073586 -0.197442 0.818026 -0.540232
13 14 27 0.990297 -0.013112 -0.101022 -0.094519 -0.611309 0.640280 -0.465127
8 17 18 0.995028 0.098390 -0.003123 -0.015103 -0.678368 -0.195189 -0.708320
35 46 62 0.948851 0.107861 0.289883 0.063375 0.384288 -0.857945 -0.340959
29 49 13 0.994400 0.098036 -0.033279 -0.021199 -0.176193 -0.349052 -0.920391
4 37 54 0.918395 0.374446 -0.066942 -0.108905 -0.389222 0.623230 -0.678300
2 15 73 0.967461 0.175756 -0.095153 -0.155163 -0.677080 0.001478 -0.735908
32 34 8 0.977112 -0.010788 -0.199299 -0.073586 -0.197442 0.818026 -0.540232
36 41 39 0.990562 0.095464 -0.091462 -0.036179 0.219194 0.511904 -0.830607
1 34 21 0.791710 0.283232 -0.375342 -0.389992 0.181101 0.620988 -0.762612
1 15 6 0.895575 0.134779 -0.236172 -0.352140 -0.371362 0.530646 -0.761909
6 39 68 0.920874 0.386600 -0.003694 -0.050172 -0.316644 0.645400 -0.695123
36 45 44 0.946829 0.108960 0.295711 0.064792 0.229930 -0.939138 -0.255249
32 47 12 0.991241 0.103053 0.082101 0.009024 0.363937 -0.679932 -0.636587
4 40 44 0.864851 0.452144 -0.142278 -0.165394 -0.008382 0.844020 -0.536246
15 35 47 0.955351 0.174944 -0.191425 -0.141615 -0.049932 0.589577 -0.806168
2 9 10 0.961691 0.065211 -0.127949 -0.233510 -0.460455 0.590935 -0.662403
27 44 27 0.928569 0.171514 -0.300659 -0.133962 0.053955 0.640120 -0.766378
24 36 73 0.979281 0.085222 -0.159885 -0.090459 0.130109 0.710471 -0.691594
36 40 44 0.976137 0.089545 -0.188190 -0.061009 0.517867 0.708833 -0.478925
19 37 8 0.973259 0.204693 0.097757 0.036224 -0.650494 -0.293813 -0.700379
22 24 67 0.972033 0.019438 0.199082 0.123044 0.353071 -0.897669 0.263689
34 35 39 0.994265 -0.006246 -0.100157 -0.036958 -0.058857 0.903756 -0.423983
16 25 8 0.989763 0.106255 0.081045 0.050109 -0.068813 -0.898759 -0.433009
28 49 43 0.977910 0.201028 0.057175 -0.003245 0.211121 -0.391403 -0.895674
15 42 36 0.905265 0.257240 -0.289350 -0.174929 0.302418 0.709192 -0.636859
14 27 7 0.993075 0.103659 0.049062 0.025500 0.138545 -0.830699 -0.539207
35 41 54 0.974954 0.088717 -0.194184 -0.062339 0.367577 0.750256 -0.549547
3 36 63 0.895940 0.351299 -0.174897 -0.208067 -0.141662 0.687642 -0.712096
23 35 31 0.993764 0.103046 0.041931 0.007495 -0.327601 -0.608871 -0.722464
6 8 36 0.938524 0.039876 0.198791 0.279402 0.228400 -0.937950 0.260929
24 40 10 0.912674 0.163610 -0.343261 -0.149767 0.627192 0.716498 -0.305385
16 37 50 0.936419 0.164047 -0.253215 -0.179138 0.385378 0.722375 -0.574159
21 37 47 0.992484 0.104102 0.061908 0.017503 -0.528470 -0.542000 -0.653418
7 21 45 0.978777 0.189740 -0.043472 -0.064063 -0.385124 0.434035 -0.814428
41 43 24 0.979373 0.006998 0.199607 0.030598 0.115853 -0.931429 0.344989
14 45 53 0.942745 0.280212 -0.146096 -0.106627 -0.175144 0.306841 -0.935507
23 43 44 0.978398 0.201587 0.044992 -0.008691 -0.301818 -0.271443 -0.913906
33 37 42 0.909343 -0.023675 -0.389658 -0.143881 0.459720 0.844047 -0.276119
33 36 77 0.948679 -0.017952 -0.296163 -0.109426 0.246331 0.878618 -0.409086
5 6 26 0.994958 0.095527 -0.010067 -0.028835 -0.592425 0.446698 -0.670443
1 25 12 0.858959 0.216990 -0.289881 -0.362041 -0.183239 0.536523 -0.823752
15 24 56 0.983239 0.084191 -0.122896 -0.105119 -0.303396 0.517048 -0.800383
12 30 45 0.974434 0.187797 -0.092719 -0.081330 -0.325419 -0.297730 -0.897474
15 43 61 0.931463 0.272295 -0.201291 -0.133096 0.035733 0.582321 -0.812173
33 46 63 0.990805 0.103109 0.087005 0.010156 0.256937 -0.757143 -0.600598
25 27 77 0.971828 0.017654 0.200023 0.123407 0.872267 -0.488626 0.019871
5 6 17 0.994958 0.095527 -0.010067 -0.028835 -0.592425 0.446698 -0.670443
25 27 16 0.971828 0.017654 0.200023 0.123407 0.872267 -0.488626 0.019871
41 44 34 0.954032 0.010079 0.296034 0.045660 0.299286 -0.918176 0.259580
33 45 28 0.994861 0.099540 -0.010641 -0.015180 -0.129051 -0.256415 -0.957913
22 40 51 0.970734 0.189195 -0.128922 -0.072523 0.282155 0.547237 -0.787985
2 17 49 0.886542 0.130116 -0.248730 -0.367760 0.121458 0.747631 -0.652913
11 44 77 0.855537 0.332086 -0.317283 -0.238971 0.134828 0.619954 -0.772967
19 20 7 0.992587 0.091927 -0.056983 -0.055445 0.056206 0.514623 -0.855572
13 33 46 0.939181 0.167609 -0.244321 -0.173650 -0.214020 0.464469 -0.859339
23 39 2 0.918720 0.166048 -0.327821 -0.144619 0.732000 0.644336 -0.221376
25 44 52 0.976052 0.193384 -0.082922 -0.055211 -0.167678 0.222068 -0.960505
24 46 34 0.952996 0.205260 0.215909 0.055235 0.093122 -0.714821 -0.693079
13 14 66 0.990297 -0.013112 -0.101022 -0.094519 -0.611309 0.640280 -0.465127
24 33 61 0.984744 0.107723 0.127398 0.049452 0.138904 -0.902473 -0.407736
8 23 37 0.980358 0.195856 0.000400 -0.023218 -0.610020 -0.077132 -0.788623
3 36 59 0.895940 0.351299 -0.174897 -0.208067 -0.141662 0.687642 -0.712096
9 43 65 0.913669 0.374270 -0.109599 -0.114539 -0.212066 0.492628 -0.844006
3 22 34 0.914562 0.247555 -0.194175 -0.254145 -0.024323 0.733280 -0.679492
20 38 13 0.991662 0.104558 0.071870 0.022553 -0.629050 -0.469665 -0.619444
18 37 51 0.979921 0.194915 -0.020086 -0.036872 -0.363083 0.209736 -0.907845
18 42 27 0.950797 0.299024 0.081006 0.002625 -0.509072 -0.056392 -0.858875
21 24 29 0.937398 0.028342 0.295293 0.182441 0.407935 -0.887607 0.213875
9 16 37 0.994151 0.094732 -0.028053 -0.043621 -0.658212 -0.139087 -0.739873
41 43 11 0.979373 0.006998 0.199607 0.030598 0.115853 -0.931429 0.344989
25 43 42 0.962588 0.185125 -0.176460 -0.089529 0.034789 0.565647 -0.823913
14 33 69 0.968966 0.183847 -0.128954 -0.103330 -0.347422 0.208057 -0.914336
2 9 25 0.961691 0.065211 -0.127949 -0.233510 -0.460455 0.590935 -0.662403
33 36 54 0.948679 -0.017952 -0.296163 -0.109426 0.246331 0.878618 -0.409086
27 30 1 0.989120 0.106075 0.095825 0.034739 0.513147 -0.656833 -0.552495
23 40 47 0.948345 0.177768 -0.237692 -0.111996 0.521129 0.681432 -0.513882
7 20 25 0.965308 0.175746 -0.128785 -0.143902 0.196955 0.695088 -0.691420
2 22 23 0.813628 0.192831 -0.346731 -0.424975 0.497186 0.692935 -0.522157
10 44 32 0.902161 0.364031 -0.173867 -0.152830 -0.126521 0.495576 -0.859300
27 31 5 0.994945 0.099677 -0.000109 -0.012184 -0.113819 -0.557935 -0.822042
18 42 56 0.950797 0.299024 0.081006 0.002625 -0.509072 -0.056392 -0.858875
16 40 50 0.884521 0.245803 -0.342468 -0.199797 0.623190 0.692726 -0.362994
16 18 5 0.961283 -0.027508 -0.200454 -0.187073 0.522231 0.798534 -0.299362
14 15 31 0.990315 -0.012703 -0.100900 -0.094523 -0.380277 0.788514 -0.483358
13 46 10 0.936284 0.275533 -0.179968 -0.122741 -0.181979 0.259819 -0.948355
38 41 2 0.987590 0.104742 0.115717 0.017451 -0.455076 -0.771289 -0.444993
28 31 5 0.988093 0.091186 -0.106157 -0.063938 -0.544196 0.012120 -0.838871
44 46 72 0.979629 0.005596 0.198389 0.030610 0.647669 -0.749083 0.139279
14 43 17 0.893009 0.252228 -0.320755 -0.189820 0.235442 0.685148 -0.689304
15 25 33 0.994459 0.095136 -0.029133 -0.033938 -0.500254 -0.248438 -0.829473
31 45 47 0.969947 0.088446 -0.216226 -0.068019 -0.246840 0.562759 -0.788906
11 14 66 0.988224 0.086198 -0.077350 -0.100005 -0.705870 -0.127667 -0.696742
20 36 28 0.951646 0.114917 0.260627 0.115056 -0.278595 -0.958929 -0.053299
31 46 43 0.987354 0.094107 -0.119989 -0.043340 -0.379096 0.287588 -0.879534
10 35 43 0.911450 0.253587 -0.240352 -0.217217 -0.001628 0.633429 -0.773799
19 36 44 0.955258 0.209440 0.187519 0.091946 -0.558160 -0.663070 -0.498794
23 37 6 0.981154 0.086632 -0.149968 -0.085676 0.284840 0.700988 -0.653821
8 9 73 0.984201 0.019688 0.102429 0.143070 0.425157 -0.855224 0.296366
20 35 11 0.914990 0.118518 0.351216 0.159353 -0.016134 -0.999388 -0.031028
34 41 31 0.948165 0.081185 -0.294387 -0.087915 0.418804 0.811716 -0.407088
10 15 70 0.991889 0.090355 -0.053057 -0.071949 -0.671508 -0.111312 -0.732589
25 33 30 0.994631 0.101297 0.021082 -0.002140 -0.179967 -0.592419 -0.785271
16 40 33 0.884521 0.245803 -0.342468 -0.199797 0.623190 0.692726 -0.362994
17 19 66 0.961459 -0.027600 -0.199551 -0.187123 0.721801 0.675650 -0.149998
8 20 52 0.920275 0.149673 -0.252528 -0.258690 0.642202 0.647121 -0.410866
44 45 21 0.994891 0.002881 0.099733 0.015367 0.498450 -0.816425 0.291544
12 27 55 0.972042 0.077819 -0.169935 -0.142127 -0.630355 0.182256 -0.754609
16 43 21 0.951851 0.287096 -0.077851 -0.074131 -0.199936 0.330055 -0.922545
43 47 24 0.919021 0.011297 0.389391 0.060397 0.692459 -0.707123 -0.143100
14 32 40 0.979150 0.193648 -0.038481 -0.047793 -0.329502 -0.251935 -0.909922
27 45 56 0.955376 0.182053 -0.209536 -0.101037 -0.146465 0.451892 -0.879967
21 37 21 0.992484 0.104102 0.061908 0.017503 -0.528470 -0.542000 -0.653418
33 42 6 0.946300 0.081525 -0.299744 -0.089577 0.267695 0.812007 -0.518638
32 44 16 0.971279 0.088938 -0.210413 -0.066582 -0.104350 0.659934 -0.744042
4 19 59 0.959993 0.168223 -0.119076 -0.189568 -0.024962 0.748998 -0.662102
1 15 66 0.895575 0.134779 -0.236172 -0.352140 -0.371362 0.530646 -0.761909
5 18 23 0.962312 0.213783 0.107840 0.128932 -0.810153 -0.384878 -0.442178
7 38 10 0.951385 0.282649 -0.077344 -0.094835 -0.173327 0.615023 -0.769223
34 38 51 0.909301 -0.024171 -0.389828 -0.143600 0.585707 0.803314 -0.107859
8 16 76 0.985694 0.112353 0.088632 0.089046 -0.278658 -0.906447 -0.317339
16 21 20 0.927646 0.058672 -0.287764 -0.230698 0.624335 0.705235 -0.335931
6 22 20 0.952705 0.213585 0.168587 0.135323 -0.681183 -0.592137 -0.430539
24 33 47 0.984744 0.107723 0.127398 0.049452 0.138904 -0.902473 -0.407736
34 35 35 0.994265 -0.006246 -0.100157 -0.036958 -0.058857 0.903756 -0.423983
22 37 1 0.993774 0.096213 -0.044430 -0.034377 -0.104328 0.286956 -0.952246
22 44 39 0.944115 0.207135 0.247482 0.067042 -0.197554 -0.807091 -0.556396
6 18 12 0.973079 0.118966 0.135464 0.143576 -0.589374 -0.781457 -0.204849
23 36 9 0.993197 0.095181 -0.054368 -0.039295 -0.159798 0.300402 -0.940332
32 47 76 0.991241 0.103053 0.082101 0.009024 0.363937 -0.679932 -0.636587
13 31 16 0.977287 0.190866 -0.065740 -0.064485 -0.323318 -0.262009 -0.909295
21 34 74 0.919318 0.118784 0.341828 0.154592 0.154749 -0.977757 -0.141578
14 46 32 0.953369 0.289747 -0.055984 -0.063247 -0.221696 0.007055 -0.975090
13 45 69 0.912435 0.262095 -0.267800 -0.164477 -0.041231 0.487115 -0.872364
7 36 43 0.948557 0.300865 0.092270 0.034724 -0.667562 -0.116257 -0.735422
7 40 52 0.918464 0.379530 -0.066976 -0.088857 -0.167988 0.664870 -0.727824
39 43 34 0.918855 0.013385 0.389784 0.059956 0.131568 -0.920030 0.369100
17 44 8 0.943184 0.300784 0.137864 0.030429 -0.394694 -0.358622 -0.845935
20 43 48 0.899927 0.205132 0.368001 0.112375 -0.305742 -0.906098 -0.292418
42 44 16 0.979460 0.006715 0.199161 0.030792 0.307893 -0.907594 0.285437
26 32 19 0.994864 0.100464 0.009930 -0.007314 -0.136817 -0.572167 -0.808645
27 33 12 0.972351 0.083913 -0.190999 -0.104935 -0.320854 0.516726 -0.793755
13 14 34 0.990297 -0.013112 -0.101022 -0.094519 -0.611309 0.640280 -0.465127
1 16 51 0.831587 0.108684 -0.307186 -0.449764 0.089560 0.709364 -0.699130
22 42 60 0.977467 0.202272 0.060296 -0.002998 -0.382266 -0.268916 -0.884057
24 40 42 0.912674 0.163610 -0.343261 -0.149767 0.627192 0.716498 -0.305385
36 46 35 0.911226 0.109091 0.387080 0.089079 0.368180 -0.870000 -0.327938
34 35 48 0.994265 -0.006246 -0.100157 -0.036958 -0.058857 0.903756 -0.423983
6 40 26 0.915963 0.392801 0.081920 0.002839 -0.617022 0.380589 -0.688793
8 19 5 0.955945 0.064706 -0.182734 -0.220433 0.539599 0.702916 -0.463403
22 35 42 0.981137 0.110070 0.147505 0.059131 -0.199081 -0.927575 -0.316182
6 38 19 0.952226 0.298940 0.061446 0.011145 -0.655165 0.253675 -0.711624
8 22 3 0.973977 0.182667 -0.085446 -0.103447 -0.312741 0.474686 -0.822719
34 40 44 0.912881 0.073432 -0.385901 -0.111068 0.577042 0.794083 -0.190931
9 25 48 0.978367 0.201525 0.043423 0.017300 -0.423259 -0.555033 -0.716093
25 41 18 0.906066 0.162098 -0.358669 -0.155323 0.514025 0.756157 -0.404975
12 31 6 0.957622 0.176371 -0.182400 -0.136322 -0.420070 0.060489 -0.905473
41 43 7 0.979373 0.006998 0.199607 0.030598 0.115853 -0.931429 0.344989
32 47 37 0.991241 0.103053 0.082101 0.009024 0.363937 -0.679932 -0.636587
8 42 36 0.919924 0.382052 -0.045171 -0.075738 -0.328817 0.463514 -0.822821
13 32 18 0.963784 0.180121 -0.155954 -0.119810 -0.384449 0.148511 -0.911122
23 45 45 0.948640 0.206437 0.231773 0.061215 -0.047997 -0.773983 -0.631385
7 36 42 0.948557 0.300865 0.092270 0.034724 -0.667562 -0.116257 -0.735422
4 21 2 0.944422 0.270454 -0.105404 -0.154311 -0.232522 0.698191 -0.677099
31 34 64 0.948719 -0.016333 -0.296186 -0.109268 -0.116116 0.781770 -0.612660
23 34 30 0.982945 0.109461 0.137462 0.054239 -0.027756 -0.930591 -0.365008
21 35 18 0.954738 0.115211 0.251215 0.109967 -0.098034 -0.986525 -0.130989
7 23 3 0.964360 0.210271 0.128086 0.096902 -0.579644 -0.608837 -0.541599
22 24 37 0.972033 0.019438 0.199082 0.123044 0.353071 -0.897669 0.263689
26 31 27 0.987843 0.106700 0.105903 0.039572 0.412170 -0.757949 -0.505597
27 48 28 0.976621 0.201990 0.073506 0.002965 0.160891 -0.447694 -0.879593
23 36 72 0.993197 0.095181 -0.054368 -0.039295 -0.159798 0.300402 -0.940332
33 47 57 0.976436 0.105721 0.184714 0.035738 0.505462 -0.733395 -0.454577
32 45 71 0.988069 0.094688 -0.114028 -0.041840 -0.273523 0.385217 -0.881359
8 35 75 0.954219 0.296634 0.037644 -0.007554 -0.560821 -0.062457 -0.825578
9 41 15 0.872060 0.340647 -0.277460 -0.215608 0.346944 0.750114 -0.562990
8 40 23 0.892395 0.354453 -0.214837 -0.178439 0.295105 0.759973 -0.579097
23 32 49 0.927879 0.116866 0.322746 0.145661 0.470463 -0.813878 -0.340979
37 42 65 0.988267 0.104762 0.110015 0.015835 -0.308731 -0.825631 -0.472249
17 37 57 0.967683 0.181005 -0.137528 -0.109142 0.078973 0.600587 -0.795649
9 25 25 0.978367 0.201525 0.043423 0.017300 -0.423259 -0.555033 -0.716093
45 47 13 0.979433 0.005559 0.199317 0.030865 0.780605 -0.622911 0.051360
22 42 3 0.977467 0.202272 0.060296 -0.002998 -0.382266 -0.268916 -0.884057
13 46 3 0.936284 0.275533 -0.179968 -0.122741 -0.181979 0.259819 -0.948355
42 45 47 0.954101 0.009492 0.295813 0.045783 0.468679 -0.868820 0.159661
28 46 75 0.951508 0.179948 -0.225439 -0.106905 -0.227195 0.356024 -0.906438
43 45 53 0.979658 0.005976 0.198220 0.030703 0.487837 -0.845383 0.217585
27 48 62 0.976621 0.201990 0.073506 0.002965 0.160891 -0.447694 -0.879593
37 38 3 0.994248 -0.006040 -0.100293 -0.037101 0.532571 0.818693 -0.214732
24 33 68 0.984744 0.107723 0.127398 0.049452 0.138904 -0.902473 -0.407736
9 15 1 0.990266 0.108300 0.063200 0.060410 -0.155879 -0.912471 -0.378282
18 24 18 0.960433 0.118659 0.205610 0.145647 0.011052 -0.982788 -0.184407
10 23 55 0.920191 0.150778 -0.252787 -0.258095 0.101837 0.712815 -0.693920
9 15 37 0.990266 0.108300 0.063200 0.060410 -0.155879 -0.912471 -0.378282
27 32 14 0.989336 0.092173 -0.096146 -0.058940 -0.478724 0.120730 -0.869625
11 15 53 0.962490 0.070030 -0.166895 -0.202126 -0.462753 0.512817 -0.723103
35 39 32 0.915272 0.073949 -0.380447 -0.109860 0.685869 0.726157 -0.047746
4 19 71 0.959993 0.168223 -0.119076 -0.189568 -0.024962 0.748998 -0.662102
38 39 36 0.991665 0.095886 -0.079408 -0.033179 0.426837 0.422732 -0.799442
23 43 3 0.978398 0.201587 0.044992 -0.008691 -0.301818 -0.271443 -0.913906
6 19 45 0.992512 0.106083 0.045402 0.040061 -0.800214 -0.188147 -0.569436
1 10 24 0.938356 0.054457 -0.164620 -0.299037 -0.572859 0.514866 -0.637766
6 37 45 0.938367 0.304134 0.145570 0.076020 -0.774754 -0.151706 -0.613792
17 34 28 0.967284 0.207049 0.134538 0.058245 -0.303941 -0.682007 -0.665197
9 15 26 0.990266 0.108300 0.063200 0.060410 -0.155879 -0.912471 -0.378282
12 29 8 0.980069 0.197020 -0.002227 -0.025350 0.037198 -0.524096 -0.850847
16 22 13 0.963781 0.072184 -0.198437 -0.162905 0.281042 0.764969 -0.579515
31 33 10 0.977099 -0.011116 -0.199366 -0.073528 -0.383929 0.719262 -0.579018
2 16 56 0.936113 0.154962 -0.173455 -0.263803 -0.388365 0.539690 -0.746932
25 44 42 0.976052 0.193384 -0.082922 -0.055211 -0.167678 0.222068 -0.960505
33 47 62 0.976436 0.105721 0.184714 0.035738 0.505462 -0.733395 -0.454577
20 37 13 0.977281 0.110351 0.167171 0.069267 -0.529949 -0.818665 -0.221228
16 24 53 0.994974 0.096914 -0.013065 -0.021534 -0.497280 -0.265974 -0.825815
43 45 37 0.979658 0.005976 0.198220 0.030703 0.487837 -0.845383 0.217585
4 21 65 0.944422 0.270454 -0.105404 -0.154311 -0.232522 0.698191 -0.677099
